release_date,item_id,developer,genre
2018,761140.0,Kotoshiro,Action
2018,761140.0,Kotoshiro,Casual
2018,761140.0,Kotoshiro,Indie
2018,761140.0,Kotoshiro,Simulation
2018,761140.0,Kotoshiro,Strategy
2018,643980.0,Secret Level SRL,Free to Play
2018,643980.0,Secret Level SRL,Indie
2018,643980.0,Secret Level SRL,RPG
2018,643980.0,Secret Level SRL,Strategy
2017,670290.0,Poolians.com,Casual
2017,670290.0,Poolians.com,Free to Play
2017,670290.0,Poolians.com,Indie
2017,670290.0,Poolians.com,Simulation
2017,670290.0,Poolians.com,Sports
2017,767400.0,彼岸领域,Action
2017,767400.0,彼岸领域,Adventure
2017,767400.0,彼岸领域,Casual
2018,772540.0,Trickjump Games Ltd,Action
2018,772540.0,Trickjump Games Ltd,Adventure
2018,772540.0,Trickjump Games Ltd,Simulation
2018,774276.0,Poppermost Productions,Free to Play
2018,774276.0,Poppermost Productions,Indie
2018,774276.0,Poppermost Productions,Simulation
2018,774276.0,Poppermost Productions,Sports
2018,774277.0,Poppermost Productions,Free to Play
2018,774277.0,Poppermost Productions,Indie
2018,774277.0,Poppermost Productions,Simulation
2018,774277.0,Poppermost Productions,Sports
2018,774278.0,Poppermost Productions,Free to Play
2018,774278.0,Poppermost Productions,Indie
2018,774278.0,Poppermost Productions,Simulation
2018,774278.0,Poppermost Productions,Sports
2018,768800.0,RewindApp,Casual
2018,768800.0,RewindApp,Indie
2018,768800.0,RewindApp,Racing
2018,768800.0,RewindApp,Simulation
2018,770380.0,Stegalosaurus Game Development,Action
2018,770380.0,Stegalosaurus Game Development,Adventure
2018,770380.0,Stegalosaurus Game Development,Casual
2018,770380.0,Stegalosaurus Game Development,Indie
2018,770380.0,Stegalosaurus Game Development,RPG
2018,768880.0,Copperpick Studio,Casual
2018,768880.0,Copperpick Studio,Indie
2018,765320.0,Ghulam Jewel,Casual
2018,765320.0,Ghulam Jewel,Indie
2018,765320.0,Ghulam Jewel,Simulation
2018,773650.0,Apillo,Adventure
2018,773650.0,Apillo,Casual
2018,773650.0,Apillo,Indie
2018,773650.0,Apillo,Simulation
2018,773650.0,Apillo,Strategy
2018,774271.0,Poppermost Productions,Free to Play
2018,774271.0,Poppermost Productions,Indie
2018,774271.0,Poppermost Productions,Simulation
2018,774271.0,Poppermost Productions,Sports
2018,773690.0,Apillo,Adventure
2018,773690.0,Apillo,Casual
2018,773690.0,Apillo,Indie
2018,773690.0,Apillo,Simulation
2018,773690.0,Apillo,Strategy
2018,774279.0,Poppermost Productions,Free to Play
2018,774279.0,Poppermost Productions,Indie
2018,774279.0,Poppermost Productions,Simulation
2018,774279.0,Poppermost Productions,Sports
2018,768060.0,Tero Lunkka,Action
2018,768060.0,Tero Lunkka,Adventure
2018,768060.0,Tero Lunkka,Indie
2017,775880.0,FrozenPepper,Racing
2017,775880.0,FrozenPepper,Simulation
2017,775880.0,FrozenPepper,Sports
2017,775881.0,FrozenPepper,Racing
2017,775881.0,FrozenPepper,Simulation
2017,775881.0,FrozenPepper,Sports
2018,653960.0,Casey Labrack,Action
2018,653960.0,Casey Labrack,Indie
1997,282010.0,Stainless Games Ltd,Action
1997,282010.0,Stainless Games Ltd,Indie
1997,282010.0,Stainless Games Ltd,Racing
1998,70.0,Valve,Action
2016,752360.0,dev4play,Action
2016,752360.0,dev4play,Indie
2016,752360.0,dev4play,RPG
2018,520680.0,BlueLine Games,Casual
2018,520680.0,BlueLine Games,Indie
2018,520680.0,BlueLine Games,Strategy
2018,690410.0,Games by Brundle,Action
2018,766850.0,ETGgames,Casual
2018,766850.0,ETGgames,Indie
2018,766850.0,ETGgames,Simulation
2018,413120.0,ProjectorGames,Action
2018,413120.0,ProjectorGames,Casual
2018,413120.0,ProjectorGames,Indie
2018,413120.0,ProjectorGames,Massively Multiplayer
2018,413120.0,ProjectorGames,Simulation
2018,413120.0,ProjectorGames,Sports
2018,413120.0,ProjectorGames,Strategy
2017,773120.0,Unknown Indie Devs,Adventure
2017,773120.0,Unknown Indie Devs,Casual
2017,773120.0,Unknown Indie Devs,Indie
2018,754360.0,The Commander,Action
2018,754360.0,The Commander,Adventure
2018,754360.0,The Commander,RPG
2018,716110.0,"lalalaZero,Urbanoff",Adventure
2018,716110.0,"lalalaZero,Urbanoff",Casual
2018,716110.0,"lalalaZero,Urbanoff",Indie
2018,716110.0,"lalalaZero,Urbanoff",RPG
2006,1640.0,Strategy First,Strategy
2006,1630.0,Strategy First,Strategy
2006,2400.0,Outerlight Ltd.,Action
2006,2400.0,Outerlight Ltd.,Indie
2006,2400.0,Outerlight Ltd.,RPG
2017,381620.0,Breakout Studio,Indie
2017,381620.0,Breakout Studio,Massively Multiplayer
2017,381620.0,Breakout Studio,RPG
2017,381620.0,Breakout Studio,Early Access
2017,759920.0,Ultraint,Action
2017,759920.0,Ultraint,Indie
2017,759920.0,Ultraint,Strategy
2017,759920.0,Ultraint,Early Access
2018,659780.0,Seth Albertus,Action
2018,659780.0,Seth Albertus,Adventure
2018,659780.0,Seth Albertus,Indie
2018,659780.0,Seth Albertus,RPG
2018,659780.0,Seth Albertus,Strategy
2017,603280.0,TPM.CO SOFT WORKS,Action
2017,603280.0,TPM.CO SOFT WORKS,Adventure
2017,603280.0,TPM.CO SOFT WORKS,Indie
2017,603280.0,TPM.CO SOFT WORKS,RPG
2017,753110.0,Wonderbox Games,Casual
2017,753110.0,Wonderbox Games,Strategy
2017,753110.0,Wonderbox Games,Early Access
2017,753100.0,Wonderbox Games,Action
2017,753100.0,Wonderbox Games,Indie
2017,764280.0,Mad Unicorn Games,Action
2017,764280.0,Mad Unicorn Games,Adventure
2017,764280.0,Mad Unicorn Games,Casual
2017,758550.0,Emanon Studios,Adventure
2017,758550.0,Emanon Studios,Casual
2017,758550.0,Emanon Studios,Free to Play
2017,758550.0,Emanon Studios,Indie
2005,3800.0,GlyphX Games,Action
2006,1520.0,Introversion Software,Indie
2006,1520.0,Introversion Software,Strategy
2006,2420.0,Outerlight Ltd.,Action
2006,2420.0,Outerlight Ltd.,Indie
2006,2420.0,Outerlight Ltd.,RPG
2006,4000.0,Facepunch Studios,Indie
2006,4000.0,Facepunch Studios,Simulation
2006,4230.0,SimBin,Racing
2006,4900.0,Unknown Worlds Entertainment,Casual
2006,4900.0,Unknown Worlds Entertainment,Indie
2006,2520.0,"CINEMAX, s.r.o.",Casual
2006,2520.0,"CINEMAX, s.r.o.",Indie
2003,6200.0,Sick Puppies,Strategy
2006,6210.0,Deepred,Strategy
2006,6300.0,Funcom,Adventure
2006,6300.0,Funcom,RPG
2006,2990.0,Bugbear Entertainment,Racing
2005,6220.0,Bugbear Entertainment,Racing
2007,6510.0,"CAPCOM Co., Ltd.",Action
2007,6510.0,"CAPCOM Co., Ltd.",Adventure
2006,3980.0,"FireFly Studios,Firaxis Games",Strategy
2002,1700.0,Arkane Studios,RPG
2000,6310.0,Funcom,Action
2000,6310.0,Funcom,Adventure
2000,6310.0,Funcom,RPG
2006,3990.0,Firaxis Games,Strategy
2003,7610.0,PopTop,Strategy
2006,7600.0,"Firaxis Games,Feral Interactive (Mac)",Strategy
1998,7620.0,PopTop,Strategy
2007,2540.0,Elephant Games,Casual
2007,2540.0,Elephant Games,Indie
1995,7650.0,"MicroProse Software, Inc",Strategy
2007,8000.0,"Crystal Dynamics,Feral Interactive (Mac)",Action
2007,8000.0,"Crystal Dynamics,Feral Interactive (Mac)",Adventure
2006,6550.0,"CAPCOM Co., Ltd.",Action
2006,8200.0,Telltale Games,Action
2006,8200.0,Telltale Games,Adventure
1996,2290.0,id Software,Action
2007,2570.0,Freegamer,Indie
2007,2570.0,Freegamer,RPG
2006,8210.0,Telltale Games,Action
2006,8210.0,Telltale Games,Adventure
1995,2280.0,id Software,Action
1995,9160.0,id Software,Action
1994,2300.0,id Software,Action
1994,2270.0,id Software,Action
2001,9010.0,Gray Matter Studios,Action
1997,9040.0,Ritual Entertainment,Action
1993,9000.0,id Software,Action
2003,3810.0,Terminal Reality,Action
2007,9030.0,Rogue Entertainment,Action
2007,2310.0,id Software,Action
2007,3230.0,Metamorf,Strategy
2006,9310.0,Relic Entertainment,Strategy
2007,7670.0,"2K Boston,2K Australia",Action
2007,7670.0,"2K Boston,2K Australia",RPG
2006,4570.0,Relic Entertainment,Strategy
2006,4580.0,Relic Entertainment,Strategy
2004,4760.0,The Creative Assembly,Strategy
2006,4770.0,The Creative Assembly,Strategy
2007,50970.0,Big Fish Games,Casual
1998,12170.0,Rockstar North,Action
1999,12180.0,Rockstar North,Action
2004,12130.0,Rockstar North,Action
2003,12160.0,Rockstar San Diego,Racing
2003,12150.0,Remedy Entertainment,Action
2006,7000.0,Crystal Dynamics,Action
2006,7000.0,Crystal Dynamics,Adventure
2001,12140.0,Remedy Entertainment,Action
2008,17480.0,EA Los Angeles,Strategy
2007,12500.0,Infinite Interactive,Casual
2007,12310.0,Momentum Digital Media Technologies,RPG
2007,12310.0,Momentum Digital Media Technologies,Casual
2007,12310.0,Momentum Digital Media Technologies,Adventure
2007,12510.0,"Gamebryo,Virtual Playground",Strategy
2007,12530.0,SCS Software,Action
2007,12530.0,SCS Software,Adventure
2007,12530.0,SCS Software,Strategy
2007,12520.0,SCS Software,Racing
2008,8100.0,Pivotal Games,Action
2007,2780.0,Bohemia Interactive,Action
2006,9730.0,,Simulation
2006,9710.0,Spellbound,Action
2007,9800.0,Haggard Games,Action
2007,9800.0,Haggard Games,Adventure
